"","farm","name","area","type","date_planting","dist_inter_rang","dist_inter_plant","lat","lon"
"316",6,"BEAUX REGARD N 1992",0.1,3,NA,1,1.15,49.153973,4.079386
"317",7,"HAUSSE CUISSE GD 1989",0.3995,3,NA,1,1.15,49.164237,4.048227
"318",7,"HAUSSE CUISSE PT 1974",0.0895,3,NA,1,1.15,49.164237,4.048227
"319",7,"HOUSSETS 1980",0.1755,3,NA,1,1.15,49.156744,4.062434
"320",7,"NOUES pt 1990",0.0903,3,NA,1,1.15,49.156744,4.062434
"321",7,"THERMES 1975",0.1028,3,NA,1,1.15,49.164237,4.048227
"322",7,"sentiers",0.3365,1,NA,1,1.15,49.153973,4.079386
"323",7,"sentiers",0.3,3,NA,1,1.15,49.153973,4.079386
"324",7,"Verbonettes",0.0915,1,NA,1,1.15,49.153973,4.079386
"325",8,"Voies de chigny",0.2335,2,NA,1,1.15,49.164237,4.048227
"326",8,"Monthouzons adulte",0.45,1,NA,1,1.15,49.21426,4.093792
"327",8,"Monthouzons jeune",0.45,1,NA,1,1.15,49.21426,4.093792
"328",8,"JEUNES BEAUNES",0.4666,1,NA,1,1.15,49.153973,4.079386
"329",8,"CORIGNIERS",0.6248,1,NA,1,1.15,49.153973,4.079386
"330",8,"CLOS SAINT PAUL",0.3069,1,NA,1,1.15,49.164237,4.048227
"331",8,"GRANDS CARIZETS",0.1778,1,NA,1,1.15,49.156744,4.062434
"332",8,"BLANCHES VOYES",0.1925,1,NA,1,1.15,49.164237,4.048227
"333",8,"VAUREAGES",0.0575,1,NA,1,1.15,49.164237,4.048227
"334",8,"DERRIERE LES MAISONS",0.2368,1,NA,1,1.15,49.156744,4.062434
"335",8,"BAS CLOS",0.125,1,NA,1,1.15,49.164237,4.048227
"336",8,"PETITS CARIZETS",0.0849,1,NA,1,1.15,49.156744,4.062434
"337",8,"DRILL FOUR",0.6254,1,NA,1,1.15,49.156744,4.062434
"338",8,"VIEUX BEAUNES",0.4537,1,NA,1,1.15,49.153973,4.079386
"339",8,"CRIERES",0.4966,1,NA,1,1.15,49.156744,4.062434
"340",8,"GRANDES PRUCHES",0.2182,2,NA,1,1.15,49.156744,4.062434
"341",9,"SOBINETTES",0.2021,2,NA,1,1.15,49.156744,4.062434
"342",9,"PETITES PRUCHES",0.0629,2,NA,1,1.15,49.156744,4.062434
"343",9,"BAS MOUTIONS",0.431,2,NA,1,1.15,49.164237,4.048227
"344",9,"CLOS DERARD",0.53,2,NA,1,1.15,49.164237,4.048227
"345",9,"RUELLES",0.0602,2,NA,1,1.15,49.156744,4.062434
"346",9,"VOIES DE CHIGNY",0.3272,3,NA,1,1.15,49.156744,4.062434
"347",9,"CHAMPS LUDEES",0.154,3,NA,1,1.15,49.156744,4.062434
"348",9,"CROTELETS",0.1098,3,NA,1,1.15,49.156744,4.062434
"349",9,"COUTURES",0.0813,3,NA,1,1.15,49.156744,4.062434
"350",9,"LES TERMES",0.07,1,NA,1,1.15,49.192788,4.045117
"351",9,"LES VARENNES",0.103,1,NA,1,1.15,49.164237,4.048227
"352",9,"LES BLANCHES VOIES",0.1336,3,NA,1,1.15,49.164237,4.048227
"353",10,"LES TERMES",0.229,3,NA,1,1.15,49.192788,4.045117
"354",10,"LES VAURAIAGES",0.0935,3,NA,1,1.15,49.164237,4.048227
"355",10,"BEAUNES",0.1073,1,NA,1,1.15,49.153973,4.079386
"356",10,"NOYER L'HERBIER",0.0432,1,NA,1,1.15,49.153973,4.079386
"357",10,"CARIZETS D'EN BAS",0.129,1,NA,1,1.15,49.156744,4.062434
"358",10,"VAURIAGES",0.0742,1,NA,1,1.15,49.164237,4.048227
"359",10,"CORNE CERFS",0.115,1,NA,1,1.15,49.164237,4.048227
"360",10,"CHEMIN D'AMIS BAS",0.07,1,NA,1,1.15,49.153973,4.079386
"361",10,"LES GRANDES CRIERES",0.12,1,NA,1,1.15,49.156744,4.062434
"362",10,"BEAUNES",0.21,1,NA,1,1.15,49.153973,4.079386
"363",10,"CHEMIN D'AMIS HAUT",0.1498,1,NA,1,1.15,49.153973,4.079386
"364",10,"TROIS PUITS",0.12,2,NA,1,1.15,49.205885,4.039252
"365",10,"PRUCHES D'EN HAUT",0.0645,2,NA,1,1.15,49.156744,4.062434
"366",10,"BEAUX REGARDS",0.0806,2,NA,1,1.15,49.153973,4.079386
"367",10,"HOCATS",0.0488,2,NA,1,1.15,49.153973,4.079386
"368",10,"PECHERINES",0.0717,2,NA,1,1.15,49.156744,4.062434
"369",11,"CROIX LE PRETRE",0.1814,2,NA,1,1.15,49.153973,4.079386
"370",11,"BASSIGNONS",0.0665,2,NA,1,1.15,49.156744,4.062434
"371",11,"AMIS LES CHAMPS",0.0729,2,NA,1,1.15,49.156744,4.062434
"372",11,"TROIS PUITS",0.11,3,NA,1,1.15,49.205885,4.039252
